id,neighborhood,bedrooms,bathrooms,sqft_living,price,year_built
101,Downtown,3,2,1850,"$450,000",2015
102,Suburbs,4,2.5,2400,"$520,000",2018
103,Downtown,N/A,1.5,1200,"$310,000",2010
104,Westside,2,,950,"$280,000",2008
105,Suburbs,5,3.5,3800,"$850,000",2021
106,Westside,3,2,1650,"$395,000",2012
107,Downtown,4,3,2900,"$99,999,999",2020
108,Suburbs,3,2,, "$430,000",2014
109,Downtown,3,2,1850,"$450,000",2015
110,Westside,1,1,650,"$190,000",2005
111,Suburbs,4,2.5,2350,"$515,000",2017
112,Westside,3,2,1700,"-$50,000",2011
113,Downtown,2,1.5,1150,"null",2009
114,Suburbs,4,3,3100,"$690,000",2019
115,Downtown,3,2,1850,"$450,000",2015
